Class,Title,Description,BodyText,ImageSrc,ImageSrc2,Caption,Caption2,Link,Keywords
leftDoubleImage,Julijonas Urbonas,"Lithuania, 1981","Researcher, engineer, and artist Urbonas has created a remarkably impactful website showcasing all his various projects in their various and distinct forms. The three column scroll for the various dissections of information are intuitive and work seamlessly with one another. At the top there are circles which act as dials, responding to the sections of information found down in the column. These circles act like dials which echo Urbonas’ space interests and become shortcuts to easily finding information. He has clearly thought about the UI of the webpage. The tilted text in each body text and seen also in the positioning of the text create the feeling of sinking deeper into the page with each scroll. The design and layout of the information make the long sections of text engaging and is inspiration for my webpage development, as even the black text on white background are made interesting.",https://i.ibb.co/B2g0J0PM/Screenshot-2026-05-18-at-12-22-06-pm.png,https://i.ibb.co/1G7wn3t7/Screenshot-2026-05-18-at-12-20-59-pm.png,Screenshot of Website,Screenshot of Website,https://julijonasurbonas.lt/,"Web Design, Artist Portfolio"
leftDoubleImage,MáLà Project by Jingqi Fan,"Graphic Designer, USA","This website revolutionised my idea of what a restaurant and its menu can be shaped as. This New York Sichuan restaurant has been designed as a website which invites viewers to engage and interact with the information presented. The menu transforms into a piece of art with images to click on for further information concerning the health of each dish and ingredient. The design is reminiscent of 90s nostalgia of Chinese and American cinematic, digital and analogue media. The swipes and transitions between pages, as well the soundscape present as one loads the page, are points of inspiration for my own web design. Transforming something as simple as a menu pushes the imagination of simple html files. I really liked how immersive the experience is just by clicking around.",https://i.ibb.co/BV4BchSD/Screenshot-2026-05-18-at-12-22-45-pm.png,https://i.ibb.co/Vpq1YTV9/Screenshot-2026-05-18-at-1-44-08-pm.png,Landing Page,Menu ,https://www.malaproject.com/,"Cinematic Web Design, Contemporary Nostalgia"
leftDoubleImage,Zainab Aliyu + American Artist,Poetic and Illustrative Dictionary,"This website, while simple in nature and without masses of information, is an engaging and effective way in which a book has been advertised and sold to consumers. The cover page immediately sets a humourous and playful tone, and when one clicks the options on the left side bar, a paper sound effect is played. The user can then drag and drop the page around and stack the new information with each click, making the site a really immersive and engaging page. For a while I thought I might want to do something with sound effects such as this, however I realised it didn’t really go with my page’s final execution. It works here, however I didn’t want to add something that might seem too juvenile or be too amusing.",https://i.ibb.co/3mqF58C1/Screenshot-2026-05-18-at-2-04-55-pm.png,https://i.ibb.co/pjwqnJ01/Screenshot-2026-05-18-at-2-05-24-pm.png,Pages stacked up,Landing Page,https://darkmatters.xyz/,"Illustrations, Playful, Graphic Publication"
leftDoubleImage,RISD's Graphic Design MFA,Exhibition Catalogue,"This website acts as the catalogue for the Rhode Island School of Design’s Graphic Design Masters program in 2023. The website is laid out like a board game where the user has to (or should) visit all the squares that include someone’s artwork or a list of graduates with links to their portfolios and personal websites. I often come back to this website if I need inspiration for my own webpage designs, or for considerations for my portfolio as there are over a dozen students to look at with varying designs and styles. The specialised cursor, the list of how many spaces one has visited, and the moving graphics make this website super engaging and interactive.",https://i.ibb.co/fYhpBbby/Screenshot-2026-05-18-at-2-26-21-pm.png,https://i.ibb.co/3mqxhyds/Screenshot-2026-05-18-at-2-26-43-pm.png,Landing Page,Detail Artwork,https://mfabiennial2023.risd.gd/,"Catalogue, Interactive Game"
leftDoubleImage,Refik Anadol,"Türkiye, 1985","Turkish artist Refik Anadol’s practice includes the use of AI to store and process data from digital collections and archives that are publicly accessable. I first encountered Anadol when his massive piece Quantum memories 2020 was in the foyer of the NGV and I was immediately impressed by the size and quality of the work. The AI models he used were coded so that they would process collective memory through data points, some from MOMA’s collection of art and print works. This interests me as it is the direct intersection between technology in art, one which highlights the beauty in machine-learned operations as well as a way to understand data through aesthetic means. ",https://content.ngv.vic.gov.au/col-images/api/INST048987/1280,https://i.ibb.co/q3tcX4S5/Screenshot-2026-05-18-at-3-07-21-pm.png,"Quantum Memories, 2020, NGV",Anadol's data processing,https://refikanadol.com/,"AI, Machine-based Art"
leftDoubleImage,Chris Reas,"USA, 1972","Co-creator of Processing programming language, Casey Reas creates some remarkable work which challenge my expectations of the limits of creative coding. The visible translation from data points into generated lines, points and image is amazing, and interestingly make up art that resembles the same traditions found within modernity - abstraction, repetition, generation and layering. I really like the series of works where he 'reimagines the structures of film through the logic of generated systems' (reas.com) by compressing feature length films into 10 minute long short pieces, where generative coding cuts and edits.",https://freight.cargo.site/w/2451/q/75/i/W2565729811482371947829573044884/intro-11-resized.jpg,https://freight.cargo.site/w/1500/q/75/i/T2588151862384806401601657227924/untitled-3.1-resized.jpg,Still from Compressed Cinema,Still from Compressed Cinema,https://reas.com/,"Creative Processing, Digital Cinemas"
left,Vera Molnár,"Hungary, 1924 - 1923","A pioneer of generative, computer art starting her practice in as early as the 1960s, Molnár created abstract, simple shapes to shape the work alongside a system of mathematical rules determining positioning and framing. While all made by hand, and with a system called ‘machine imaginaire’ Molnár created works with systems governing instructions and limitations.",https://www.artforum.com/wp-content/uploads/2024/04/new-Lettre-De-Ma-Mere-Letter-from-my-Mother_Vera-Molnar.jpg,,"Lettre de ma mère, 1990, Felt pen on paper",,http://www.veramolnar.com/,"Women always doing things first, Early generative art"
leftDoubleImage,Christian Moeller,"Germany, 1959","A German artist who uses sensors in his work to create interactive artworks for personal viewing experiences. In Light Blaster: Immaterial Membrane (1993), Moeller used a pulse and oxygen sensor to control light resulting in unique experiences for the audience. Another work, Stations of the Image (1993), sees viewers move closer and closer to a screen, and with a distance sensor reveals new images of Frankfurt, from skyline to on the street. Both works now seem do-able and understandable to me after participating in this subject and were really great sources of inspiration for the final project.",https://payload.cargocollective.com/1/7/229866/12174029/14_light-blaster_i_670.jpg,https://payload.cargocollective.com/1/7/229866/12173956/20_station-of-image_g_670.jpg,"Light Blaster: Immaterial Membrane, 1993","Stations of the Image, 1993",https://christianmoeller.com/,"90s physical computation, sensor art"
leftDoubleImage,Studio Drift,Lonneke Gordijn + Ralph Nauta (The Netherlands),"Similarly to Christian Moeller’s work, Studio Drift’s pieces include labour intensive, large-scale installation works which often include LEDs, AI generation and human interaction. Their aim is to highlight the often over-looked interactions and relationships between humans, nature, and technology, and their works lie in the centre of this intersectionality. Unfold uses heartbeat monitors to detect pulse which then gets translated into a frequency with AI generative code, before a unique floral pattern appears. Coded Nature II does something similar in that a motion detection sensor to determine a narrative within the work. If there is human presence before the work, a strength and endurance will be suggested in the image that appears on screen, reflecting evolutionary behaviour found in nature.",https://i0.wp.com/studiodrift.com/wp-content/uploads/2025/05/DRIFT-X-SCAD-Unfold-Flowers-scaled.jpg?resize=1700%2C1220&ssl=1,https://i0.wp.com/studiodrift.com/wp-content/uploads/2024/11/CN2-Stills.png?resize=1700%2C1220&ssl=1,"Unfold, 2025","Coded Nature II, 2024",https://studiodrift.com/works/,"Generative Art, Motion, Human Interaction"
leftDoubleImage,Aaron Koblin,"USA, 1982","Aaron Koblin is an artist who uses large-scale data collection points to make a tangible product out of the immaterial. He has collected data which includes flight path information, laser light paths, voice recordings and more, however the one he uses most is individual, human responses. Creating a prompt which thousands of people would engage with, Koblin creates a larger piece made up of the smaller parts to create a whole. For Unnumbered Sparks, he created a large scale net hanging in the sky which included a website whereby viewers could draw paths of light which would then be collated into a data pool and processed, before being projected on the net from below. A really amazing, large scale piece which becomes a collaboration between all viewers and responders to the piece of work.",https://www.aaronkoblin.com/wp-content/uploads/2015/08/gallery-02.jpg,https://www.aaronkoblin.com/wp-content/uploads/2015/08/gallery-03.jpg,"Unnumbered Sparks, 2014","Unnumbered Sparks, 2014",https://www.aaronkoblin.com/,"Large-scale, human interaction"
